City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,272.24,93,0,0.0,CA,1697361569
1,pimentel,-6.8367,-79.9342,292.31,88,100,5.14,PE,1697361570
2,yinchuan,38.4681,106.2731,293.75,15,0,1.0,CN,1697361354
3,anadyr,64.75,177.4833,273.43,93,75,4.0,RU,1697361573
4,pyay,18.8167,95.2167,304.32,65,31,1.8,MM,1697361574
5,edinburgh of the seven seas,-37.0676,-12.3116,288.08,92,100,13.76,SH,1697361575
6,puerto natales,-51.7236,-72.4875,276.14,93,96,2.69,CL,1697361379
7,bethel,41.3712,-73.414,282.88,86,96,0.45,US,1697361561
8,crane,31.3974,-102.3501,286.63,40,0,4.5,US,1697361578
9,waitangi,-43.9535,-176.5597,286.94,89,18,4.47,NZ,1697361579
10,port elizabeth,-33.918,25.5701,291.66,83,75,2.57,ZA,1697361495
11,vernon,50.2581,-119.2691,285.24,85,89,1.54,CA,1697361406
12,taoudenni,22.6783,-3.9836,304.48,16,0,4.1,ML,1697361582
13,kristiansund,63.1115,7.732,279.51,70,75,7.2,NO,1697361583
14,palmer,42.1584,-72.3287,283.38,78,100,1.54,US,1697361584
15,papatowai,-46.5619,169.4708,279.52,73,32,8.55,NZ,1697361586
16,mocoreta,-30.6189,-57.9634,285.32,94,5,3.57,AR,1697361587
17,colesberg,-30.72,25.0972,290.51,25,76,5.05,ZA,1697361588
18,saint-pierre,-21.3393,55.4781,300.97,61,100,4.12,RE,1697361590
19,baotou,40.6522,109.8222,291.58,26,2,3.1,CN,1697361418
20,st. john's,47.5649,-52.7093,283.46,98,40,3.6,CA,1697361592
21,port-aux-francais,-49.35,70.2167,274.51,66,54,12.01,TF,1697361593
22,tiksi,71.6872,128.8694,260.97,92,100,3.91,RU,1697361594
23,adamstown,-25.066,-130.1015,294.22,87,73,3.38,PN,1697361597
24,cambridge,43.3601,-80.3127,280.93,86,100,4.63,CA,1697361404
25,polyarnyy,69.1989,33.4478,275.07,99,100,4.2,RU,1697361599
26,bubaque,11.2833,-15.8333,301.13,84,83,5.58,GW,1697361600
27,prince rupert,54.3161,-130.3201,284.2,100,100,1.54,CA,1697361601
28,college,64.8569,-147.8028,273.12,88,100,1.54,US,1697361602
29,puerto ayora,-0.7393,-90.3518,296.79,95,75,2.24,EC,1697361603
30,blackmans bay,-43.0167,147.3167,281.22,82,28,0.45,AU,1697361604
31,newman,37.3138,-121.0208,289.42,79,6,1.64,US,1697361605
32,isafjordur,66.0755,-23.124,274.17,93,100,1.03,IS,1697361607
33,praia da vitoria,38.7333,-27.0667,295.29,94,75,7.39,PT,1697361608
34,black point,-34.6187,137.8972,288.08,77,90,7.88,AU,1697361609
35,grytviken,-54.2811,-36.5092,268.01,71,79,3.28,GS,1697361610
36,ilulissat,69.2167,-51.1,268.16,80,75,5.14,GL,1697361611
37,cromer,52.9312,1.2989,282.63,63,69,8.65,GB,1697361612
38,georgetown,5.4112,100.3354,304.12,71,40,4.63,MY,1697361613
39,kapit,2.0167,112.9333,300.66,92,96,1.05,MY,1697361614
40,conceicao da barra,-18.5933,-39.7322,297.31,85,76,1.11,BR,1697361616
41,avarua,-21.2078,-159.775,294.18,88,100,3.09,CK,1697361617
42,illizi,26.4833,8.4667,303.04,24,32,0.72,DZ,1697361618
43,vorgashor,67.5833,63.95,273.2,83,100,1.24,RU,1697361619
44,ribeira grande,38.5167,-28.7,295.25,100,75,9.83,PT,1697361620
45,funafuti,-8.5243,179.1942,299.15,94,100,4.63,TV,1697361621
46,saint-philippe,-21.3585,55.7679,300.92,76,36,4.18,RE,1697361622
47,adamovka,51.5223,59.9396,282.58,61,91,5.81,RU,1697361623
48,whitehorse,60.7161,-135.0538,278.58,80,40,4.12,CA,1697361625
49,lihue,21.9789,-159.3672,297.73,81,75,2.06,US,1697361626
50,klyuchi,52.2667,79.1667,282.27,71,100,5.11,RU,1697361627
51,wailua homesteads,22.0669,-159.378,297.39,81,75,2.06,US,1697361628
52,dudinka,69.4058,86.1778,272.97,85,98,4.92,RU,1697361629
53,labytnangi,66.6572,66.4183,273.11,84,53,1.08,RU,1697361630
54,port mathurin,-19.6833,63.4167,296.43,71,0,4.52,MU,1697361631
55,nar'yan-mar,67.6713,53.087,273.77,87,100,8.94,RU,1697361633
56,namibe,-15.1961,12.1522,297.07,56,26,3.71,AO,1697361634
